time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2019-03-17,838152475.0128572,117414482.09714279,67828218.56499995,11522153.785714298,44754642.03285718,60635513.82285713,684265652.7192869
2019-03-18,832885718.2178571,114444335.38428564,67618515.22499995,11340732.99714287,46061514.75071432,59149548.997142844,672735583.3807155
2019-03-19,809991706.4664285,107150723.23142849,64523464.984285675,10850894.760714298,45621980.25857146,55658690.042857125,653257065.3364298
2019-03-20,808417955.397857,107259202.76714277,63752077.17999996,10767920.930714298,46207901.90857147,55251023.69714284,664801026.7600013
2019-03-21,810645526.1435713,108119854.98499991,63419042.82928568,10748485.142142871,47124492.96785718,56616988.36142855,675928273.6528585
2019-03-22,781558101.652857,103048389.86285706,61107102.34357139,10414543.265000014,44808372.88642861,54821471.046428554,657371382.9264299
2019-03-23,759827179.2035713,100274140.64357135,60069045.033571385,10088086.177142872,43563485.08928575,54391677.472857125,632394366.4478585
2019-03-24,759608648.4649999,99226408.2657142,59892878.56214281,9974068.691428585,44397048.53785719,54459593.35999998,627289878.989287
2019-03-25,751198183.662857,97885691.15999992,60305408.00071424,9700593.463571442,44334399.221428625,54962156.56999998,631029556.0971441
2019-03-26,766464116.8042856,94596368.61857136,58571849.959999956,9722725.082857156,42424863.6428572,53958062.84071426,621278091.3800013
2019-03-27,792118602.4292856,98155687.81785706,60592372.41928566,9925678.684285726,42517312.77142864,55799797.34571426,651377591.4685727
2019-03-28,789616382.4814284,95718491.60928564,59291568.56428566,9629894.035000011,42804839.32500006,54198727.98999997,650366742.9428585
2019-03-29,805720807.0092857,95746085.87999992,60258424.25285709,9920109.927857155,43736578.18500006,55340883.28071426,683170699.924287
2019-03-30,798593052.6621428,91132020.4114285,57417559.87571423,9295167.845714297,43677743.48500006,52781428.13714283,666559290.9900013
2019-03-31,805634183.0478572,90484422.16642852,57002393.60071423,9194230.602857154,42840255.96642863,52971551.522857115,653910474.0107156
2019-04-01,815001485.6864287,90077903.69357136,56251445.16499995,9278825.852142869,43921667.16000006,53831501.6835714,657329478.7821442
2019-04-02,931917785.3828572,132840049.41642852,79218897.82071424,13712479.300000012,54121889.00142863,76731318.50642855,794046312.4235727
2019-04-03,1083867206.2735715,187400080.10785708,117718887.1328571,18550523.066428583,62328968.21071434,102465026.52571428,928399728.1835728
2019-04-04,1135192282.6057143,198242237.81357136,129239129.27214281,20427175.86785716,64811799.69071434,110734788.49785712,1008276390.5171442
2019-04-05,1180258389.6628573,208590346.82499996,137805106.81071424,21422327.906428583,67806758.96928576,117472458.44499998,1071077118.9900014
2019-04-06,1219143458.7135713,224220191.87071422,148349029.95642853,22716849.20285716,70914739.71857147,124287413.63642856,1129160844.819287
2019-04-07,1245855051.9907143,236444858.5064285,158854891.8528571,24283658.66714287,71945026.91000004,129866689.92714286,1204312489.7078586
2019-04-08,1280884486.0721428,251791545.02999994,170163503.0135714,26283434.562857155,72523037.29071432,137976632.87928572,1276778206.17643
2019-04-09,1279507197.3021429,260306777.63857135,175905075.99499995,27391949.91785715,73164803.69500004,142860403.69785717,1333141147.643573
2019-04-10,1273336331.6414285,273049549.5278571,184884295.3135714,29128184.16142858,73448465.30285718,149273384.8057143,1366518106.810716
2019-04-11,1309158100.3114283,290696594.7078571,196747666.1378571,30910373.03357144,75064877.9821429,158973637.915,1446905412.0750015
2019-04-12,1308536111.6414282,292854868.2535714,200354603.68571424,31765790.90500001,74050106.2064286,161547752.7014286,1456142902.6471443
2019-04-13,1303254629.3799996,293202466.5907142,201271285.8171428,31877271.18357144,73162746.43785718,161550282.71714288,1461175084.2821443
2019-04-14,1301803525.3999999,297092502.2314285,203695086.8635714,32242739.72000001,71646604.29285719,162874336.42000005,1492207813.25143
2019-04-15,1317403744.2564282,306525636.84285706,211727750.7135714,32687008.10857144,70089445.51000004,166506836.6957143,1514920736.4892871
